Release date,Product Family,Product,Platform,Impact,Max Severity,Article,Article (Link),Supercedence,Download,Download (Link),Build Number,Details,Details (Link),Base Score,Temporal Score,Customer Action Required
9 set 2025,Windows,Windows Server 2016,,Elevation of Privilege,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-54098,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54098,7.8,6.8,true
9 set 2025,Windows,Windows Server 2019,,Information Disclosure,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-53804,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-53804,5.5,4.8,true
9 set 2025,Windows,Windows Server 2019,,Remote Code Execution,Critical,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-55236,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-55236,7.3,6.4,true
9 set 2025,Windows,Windows Server 2016,,Information Disclosure,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-54096,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54096,6.5,5.7,true
9 set 2025,Windows,Windows Server 2016,,Elevation of Privilege,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-55234,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-55234,8.8,7.7,true
9 set 2025,Windows,Windows Server 2019,,Elevation of Privilege,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-55234,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-55234,8.8,7.7,true
9 set 2025,Windows,Windows Server 2019,,Remote Code Execution,Critical,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-55224,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-55224,7.8,6.8,true
9 set 2025,Windows,Windows Server 2016,,Security Feature Bypass,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-54917,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54917,4.3,3.8,true
9 set 2025,Windows,Windows Server 2019,,Security Feature Bypass,Important,5065428,https://support.microsoft.com/help/5065428,5063877,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065428,10.0.17763.7792,CVE-2025-54917,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54917,4.3,3.8,true
9 set 2025,Windows,Windows Server 2016,,Elevation of Privilege,Important,5065427,https://support.microsoft.com/help/5065427,5063871,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5065427,10.0.14393.8422,CVE-2025-54915,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-54915,6.7,5.8,true
