"Computer","OSProduct","InstalledKBs"
"wp-hlps-gv-as2.lottomatica.net","Windows Server 2012 R2","4099639,2967917,3044374,4576489,3019978,2919355,4103715,3126587,3061512,3133043,4577071,3084135,4586823,3178539,3110329,925673,4534978,4580358,4507413,3156059,4019111,3042085,3077715,3161949,4487123,3126434,4566468,3045999,3023266,3000483,3046017,3175024,4580469,3071756,4340006,3059317,4556405,4592495,3086255,3139914,3000850,5004285,5009595,3005628,3146723,4345681,4602960,4054522,3159398,4498963,4514599,4601349,3045685,4598275"
"2k12psapltmas.lottomatica.net","Windows Server 2012 R2","2967917,3044374,3092601,2919355,4012213,3126587,3061512,3084135,3110329,925673,3019978,4103715,3042085,3077715,3126434,3126593,3045999,3023266,3046017,3071756,3059317,3133043,3086255,3139914,3000850,3082089,3042058,3102939,3045685"
"wp-sw-npm1.lottomatica.net","Windows Server 2016 Datacenter","925673,4052623,5049614,5065687"
"wc-hlps-gv-db1.lottomatica.net","Windows Server 2012 R2","4487123,5012639,5022785,3161949,5013839,5021296,3126434,5027282,3046017,4345681,3159398,5029304,5004958,5022346,3045999,5025288,5010395,3059317,5015877,2967917,3175024,5020010,3042085,4577071,5017365,925673,4601349,4586823,5009595,4514599,5028223,4565540,4507413,5030287,5026409,5027533,5012326,4598275,5030175,3071756,5018476,3156059,5016683,3077715,3005628,5011560,3000850,4054522,5006729,3044374,4340006,2919355,3178539,4498963,5008285,4576489,4556405,5021081,5031407,3084135,5007255,3061512,3110329,5014001,3023266,4592495,5003681,3019978,4580469,3045685,5023764,4602960,5001393,5029568,5000853,5005106,3000483,4566468,4099639,4019111,3086255,5003220,5022894,3133043,5020680,3139914,3146723,4103715,5029368,5014746,3126587,4534978,4580358,5005627,5004285"
"wp-prot-fe1.lottomatica.net","Windows Server 2016 Datacenter","925673"
"wp-ltmpcmail-02.lottomatica.net","Windows Server 2019 Datacenter","925673"
"wp-smorfia-fe1.lottomatica.net","Windows Server 2019 Datacenter","925673,4052623,5005112"
"wp-crdbrd-as01.lottomatica.net","Windows Server 2019 Datacenter","5005112,925673"
"2k8t-webns01.lottomatica.net","Windows Server 2008 Standard Edition (full installation)","4474419,925673"
"wp-lottodc4.lottomatica.net","Windows Server 2022 Datacenter","4052623,925673,5050187,5012170"
"wp-hswflhlpas01.lottomatica.net","Windows Server 2012 R2","4487123,5012639,5022785,3161949,5008285,5021296,4512489,5027282,3046017,4345681,3159398,5029304,5006729,5004958,5022346,3045999,5025288,5010395,3059317,2967917,3175024,3178539,5020010,3042085,4093115,5017365,925673,4601349,4586823,5009595,4514599,4457143,4507413,5026409,4489883,5022894,5027533,5012326,5000853,5030175,3071756,5018476,3156059,5016683,3077715,3005628,5011560,3000850,4054522,3126434,5013839,3044374,4340006,2919355,4516064,4498963,5005106,5015877,4556405,5021081,4338824,3084135,3023266,3061512,3110329,5014001,4592495,5003681,3019978,4580469,5007255,3045685,5023764,4602960,5001393,5029568,4467703,4462941,5028223,3000483,4284878,4099639,4471983,4019111,3086255,5003220,4566468,3133043,5020680,3139914,3146723,5031407,4103715,5029368,4041687,5014746,3126587,4534978,5030287,5005627,5004285"
"wp-hlps-gv-db1.lottomatica.net","Windows Server 2012 R2","2967917,3044374,4576489,3019978,2919355,4103715,3126587,3061512,3133043,3084135,4586823,3178539,3110329,925673,4580358,3156059,4577071,3042085,3077715,3161949,3126434,3045999,3023266,3000483,3046017,3175024,3071756,3059317,4592495,3086255,3139914,3000850,3146723,4602960,4054522,3159398,4601349,3045685,4598275"
